屏开 晴日 春风 绿苔	崖悬百尺古|面削一屏开|晴日流丹草|春风长绿苔
斗 挂 日中 走	鼻孔随人走|日中忽见斗|踏定太冲脉|壁上挂着口
红粉 玉井 春归 锦衣	渊渊玉井水|碧净觉春归|不为洗红粉|邀郎濯锦衣
野桥 挂 雨外 春耕	溪岸野桥横|乌犍带犊行|无人挂书读|雨外候春耕
霖雨 足 息 转	牛磨人俱转|车旋水即流|争如霖雨足|所至息人牛
江头 他年 婚嫁 终老	醉与江涛别|江涛惜我游|他年婚嫁了|终老此江头
存 尊 年 乡井	八秩归乡井|交游一二存|固知年及耄|似觉老而尊
鸳鸯 中央 晚凉 乘	刺船水中央|拢船乘晚凉|近番滩上过|叶里好鸳鸯
年年 春色 溪山 事事	林依玉照远|云为石盆留|春色年年好|溪山事事幽
牛羊 多半 花发 仙人	花发当村口|牛羊踏几层|仙人餐不尽|多半化为冰
花坞 悠悠 借问 木兰	何日不悠悠|江花江上流|借问桃花坞|几度木兰舟
轩窗 电光 面面 云气	雨随云气去|雷逐电光来|为爱秋凉入|轩窗面面开
愁人 凄凉 谁见 明月	夜卧不成梦|凄凉谁见亲|起行明月下|凉影伴愁人
客思 旧游 萧萧 凉风	早晚凉风至|萧萧闻竹斋|今年无客思|又有旧游怀
风 斜挂 草 瘦竹	瘦竹藤斜挂|丛花草乱生|林高风有态|苔滑水无声
谁家 冶游 面 细腰	谁家细腰女|竞唱踏春词|红衫不掩面|微盻冶游儿
拂尘 僧 松下 系马	此寺何年造|问僧僧不知|系马枯松下|拂尘读古碑
天地 杉松 出谷 远目	苍阴羃杉松|延缘幽出谷|豁然天地开|八极启远目
江水 渺渺 中人 徘徊	中夜起徘徊|天空月如洗|为忆闺中人|渺渺湘江水
放 修竹 肃肃 冥冥	空陂放修竹|肃肃复冥冥|莫除坞外笋|从使入园生
估客 渔家 收 半江	估客系征缆|渔家收钓筒|何妨千嶂黑|犹作半江红
平陆 閟 神功 起	天用莫如龙|渊潜閟神功|一朝起平陆|八表皆雷风
惊风 垂杨 江湖 怒涛	垂杨夹古岸|容我寄轻舠|莫向江湖里|惊风挟怒涛
青 欲知 看 秋	欲知看口色|春季忌于青|若似秋时候|医之必得宁
礼法 疏放 减 风流	阮家有贤叔|学孔更师庄|礼法容疏放|风流减少狂
天中 浦口 明月 江风	凉宵万籁息|明月流天中|放舟出浦口|仰面承江风
下人 鸣玉 高明 乘轩	上路各乘轩|高明尽鸣玉|宁知涧下人|自爱轻波渌
江 悠悠 青青 衰老	悠悠江上水|青青窗畔草|寻乐及华春|吾今已衰老
伯夷 王 周 鹰扬	大邑周新造|曾孙武始王|伯夷方马谏|尚父已鹰扬
昔 客 安乐 羁旅	别却安乐窝|远为羁旅客|梦我平生人|形容宛如昔
夕阳 过雨 水殿 微微	水殿穿湖入|风阑过雨凭|微微夕阳外|时见出林僧
隔山 鸟声 芝田 抱琴	松影乱书檐|鸟声隔山屋|有客抱琴来|为弹芝田曲
斋居 寒盟 娟娟 冰玉	至性存真操|娟娟冰玉清|斋居坐相对|永矢岁寒盟
悠悠 遥遥 荧荧 隐	荧荧沙市灯|紞紞黄潭鼓|悠悠隐后帆|遥遥认前渚
怪 势 峰 蝉蜕	松与峰多怪|盘旋势万重|有时蝉蜕去|一半化为峰
欲寻 涧边 山空 濯足	涧边濯足时|修途倦烦燠|振策欲寻源|山空无往躅
扫地 松风 寥寥 焚香	焚香扫地眠|寥寥悟禅月|悦汲月上枪|松风响秋雪
留春 烟雨 情多 声声	春来只烟雨|何必更留春|啼乌声声恨|情多太管人
睡觉 中宵 高斋 初	高斋坐来久|中宵月上时|家僮初睡觉|惊报早朝迟
物物 萧条 疑 称	湾尽疑无路|堤回忽见桥|冬空仍水后|物物称萧条
滴滴 红叶 秋雨 潇潇	秋雨何潇潇|五更滴红叶|滴滴叶间红|可以比啼颊
鸳鸯 飞燕 江山 花草	迟日江山丽|春风花草香|泥融飞燕子|沙暖睡鸳鸯
白云 湿 濩落 山雨	濩落欹空旧|嵌岩掩半匏|不愁山雨湿|自有白云交
淡月 巡檐 区区 发兴	淡月巡檐罢|虚窗发兴浓|区区一何幸|生长典坟中
东郭 金陵 日出 漠漠	日出泛南塘|怅然望东郭|天长一鸟飞|金陵树漠漠
归迟 家园 古人 芙蓉	古人悔归迟|三径随刈藁|有客近家园|芙蓉树树好
融融 隔墙 午梦 笼	隔墙听幽哢|入坐春融融|午梦恬不成|始知身在笼
草 河边 分明 逢春	君为河边草|逢春心剩生|妾如台上镜|得照始分明
风雨 入夏 林花 深杯	风雨入夏凉|林花开复谢|深杯不共持|奈此消闲夜
江水 集 嘉陵 色	毕郢藏龙地|南岐集凤冈|嘉陵江水色|万古向西康
言归 幽独 游子 山程	积雾琐空岩|寒飙振疏木|游子勿言归|山程太幽独
破 小雨 赏 满怀	小雨破炎炽|满怀贮清爽|忽御两腋风|太虚一登赏
理 悄悄 寥寥 他日	寥寥谁与论|悄悄自怀恐|他日理韦带|知当移几孔
领 行 儆 著鞭	视后而著鞭|书此以自儆|一言行终身|要处君已领
持 辞 乱 将	不胜方寸乱|岂假二心持|忍矣王陵将|贤哉徐庶辞
黄花 柴荆 侯王 白酒	石道黄花细|柴荆白酒香|此尊齐天寿|何止傲侯王
谁人 遣 迟 白衣	醴酝何曾乏|谁人遣白衣|叉头那未尽|时节酒非迟
遥知 昏 炉薰 破	日入湖上昏|鲸音破寥阒|遥知诸僧定|炉薰坐禅寂
妻孥 惟 庭户 行道	刑于是妻孥|行道惟丈夫|一身丛怨嫉|庭户始乖痡
爱 作诗 老柏 甘棠	老柏蜀人爱|甘棠召南思|领客清樾下|作诗咏歌之
暮景 炎风 笔砚 结实	吐花当暮景|结实待炎风|无限调和意|都归笔砚中
翘首 争 仙仗 仰	舞镜争鸾彩|临场定鹘拳|正思仙仗日|翘首仰楼前
艇 下 闲 好	为爱微禽好|河洲尽日闲|无因疑过艇|双逐下前湾
叠嶂 马牛 风 移	愚公移叠嶂|神助到盘洲|细问昭亭路|今非风马牛
盈尺 浣花 苎萝 浣纱	镜水及苎萝|相望不盈尺|郎家浣花桥|妾家浣纱石
仙 风月 江山 翩翩	翩翩复翩翩|天生我亦仙|江山足风月|吟弄到何年
神仙 误人 天子 魏阙	莫向嵩山去|神仙多误人|不如朝魏阙|天子重贤臣
道途 葛藤 伴我 贫病	伴我走道途|直前无葛藤|三年贫病里|几度送亡僧
花深 风雨 村村 明灭	江上层云合|村村结暮阴|渔灯半明灭|风雨苇花深
寒山 松风 舒啸 梅觉	梅觉寒山春|月镜虚潭白|舒啸四无邻|松风响如答
乘桴 凭虚 计 招	不学乘桴游|却为鞭石计|凭虚招米颠|花浪沾清袂
杜陵 风雨 鸟雀 幽篁	鸟雀下前除|幽篁百尺馀|昨宵风雨过|寒洒杜陵书
深知 高士 珍重 山泽	野岩非汝肖|山泽称吾臞|珍重梁高士|深知谢幼舆
士 茂陵 远山 眉	古有轻生士|今无起死医|可怜茂陵渴|犹画远山眉
内 摧折 火宅 地	火宅煎熬地|霜松摧折身|因知群动内|易死不过人
北窗 南国 高眠 散步	散步常依树|高眠且枕流|北窗陶令宅|南国庾公楼
乾坤 蹉跎 东风 春水	六龙忽蹉跎|川广不可溯|东风吹春水|乾坤莽回互
山月 涧边 小憩 裴回	裴回涧边石|小憩一悠然|不知山月吐|已满竹窗前
紫阳 经过 高山 夜	经过今古客|一日几千强|旅店无眠夜|高山慨紫阳
马蹄 人影 玉楼 夜月	马蹄清夜月|人影玉楼春|朝来池水皱|定有赋风臣
游 安期 仙人 半席	安期耸身坐|挥斥游太极|若遇谪仙人|鲸背分半席
荒凉 减 修 寺	净相前朝寺|荒凉二十秋|曾遭减劫坏|今遇胜缘修
秋光 南山 东篱 酒力	色笑秋光淡|香嫌酒力悭|东篱在何处|客里见南山
日日 春水 未回 湖头	日日湖头望|望夫夫未回|无情春水恨|祇送别船来
烟雾 楼台 蓬莱 积水	积水千年在|寒潭一镜开|楼台渺烟雾|何处近蓬莱
吹落 旦暮 桃李 春风	春风有何情|旦暮来林园|不问桃李主|吹落红无言
泪 肠断 重华 斑斑	竹上斑斑泪|重华去不还|鸣条何处是|肠断九嶷山
门 犗 头角 濠梁	妙得濠梁趣|任公犗肯吞|□泉如有待|头角上天门
曲 感 人情 忆我	啧啧雀引雏|梢梢笋成竹|时物感人情|忆我故乡曲
天涯 长江 春深 染衣	万里长江水|春深可染衣|天涯何处客|遥逐北鸿归
茶 宫花 采 涉江	醉杀湘酃酒|频醒虎渡茶|何须涉江采|并着渚宫花
花片 鸟声 飞去 春寒	鸟声催雨至|向夕又春寒|花片不飞去|图君拾取看
开门 孤灯 闭门 默默	闭门对孤灯|开门见明星|默默心底事|礧磈谁能平
危石 湖中 堕 白榆	白榆何夕堕|危石青如此|疑是酒星沉|渴饮湖中水
天台 溪山 旌旗 晓色	旌旗赴天台|溪山晓色开|万家悲更喜|迎佛送如来
消渴 盐梅 作 味	几年作盐梅|气质固无异|惟有消渴人|偏能识其味
恨 爱 君王 深	君王爱侵地|贱妾偶酬心|欲竟无言恨|那堪言外深
银河 层霄 终日 碧玉	崖卷层霄阔|溪穿碧玉横|银河一派水|终日泻天声
祠 青松 极 枝	花山极千仞|上有老君祠|何代来居此|青松有古枝
林下 性 莽苍 疏	莽苍疏林下|双禽相因依|终然自得性|何必上林飞
湖山 知己 桃源 休问	休问桃源路|寻梅暂往还|梅花有知己|何必定湖山
白露 荒原 长空 倚杖	凉月满荒原|长空白露繁|偶来疏柳下|倚杖欲何言
人知 思 遥怜 调	琴绝已多时|台存尚起思|遥怜千古调|只得一人知
霜天 外 新句 水清	渔舸汀鸿外|霜天似水清|更无花上月|新句与谁评
岁寒 堂堂 屈曲 凌云	堂堂千尺材|为屏忍屈曲|终抱凌云情|不改岁寒绿
行健 逝 见易 法天	夫子在川上|示以逝如斯|法天以行健|见易时见之
玉阶 金屋 迟 重	何处春来早|坤仪物意熙|烟生金屋重|日上玉阶迟
赎父 征 罪 悲	慎勿悲生女|均之有至情|萦能赎父罪|兰亦替爷征
西日 高阁 没 虚明	高阁湛虚明|一心照千佛|本向西方来|不随西日没
烟雨 渔家 大泽 扁舟	烟雨棹扁舟|披蓑钓大泽|得鱼换酒归|始道渔家乐
愁心 渺渺 江水 惆怅	渺渺万里涛|风疾乱帆驶|惆怅对金焦|愁心满江水
返照 桑榆 开明 芳名	开明耀永昼|返照冈之麓|羡君桑榆功|芳名入奏牍
鸣弦 霜重 月影 风高	霜重麟胶劲|风高月影圆|乌飞随帝辇|雁落逐鸣弦
销 学 休 君	有醉销千日|无诗学四愁|几因君得句|技痒不能休
洒落 居 翛翛 玉斧	玉斧初骑御|通明暂住居|翛翛轻吹度|洒落碧华珠
山人 山头 暮云 春雨	谷口阴风来|山头暮云举|但见飞电光|山人贺春雨
垂杨 客思 晴日 春风	晴日登临好|春风各望家|垂杨夹城路|客思逐杨花
孤舟 澄江 晴云 青嶂	澄江漾旭日|青嶂拥晴云|孤舟彼谁子|应得离人群
罗巾 开窗 掩 盈盈	盈盈绮闼女|生长不知春|开窗见百结|背面掩罗巾
物理 风雪 倍 难穷	风雪无眠夜|泠然细省躬|此心诚易失|物理倍难穷
禾黍 烟尘 鼓角 萋萋	十年戈甲际|四海烟尘中|惨惨鼓角晚|萋萋禾黍风
霜毛 香雪 广寒 丁东	频敲玉杵臼|香雪昼漫漫|却笑霜毛兔|丁东在广寒
佳景 山灵 吹入 数点	数点庐峰雪|吹入冲陶云|山灵定惊怪|佳景被子分
翠微 青山 回首 暮雨	春游翠微里|晚下白莲台|立马遥回首|青山暮雨来
轻舟 刺史 碧池 官事	刺史放衙早|轻舟泛碧池|祗应官事了|来写放生碑
夜凉 月华 觉 花阴	坐久觉夜凉|月华淡于水|烛灭花阴深|湿萤飞不起
悠悠 愁思 西楼 人语	斜月下西楼|凉飔袭毳裘|虚斋人语静|愁思漫悠悠
斗酒 东皇 春江 花落	花落东皇暮|春江深复深|双柑携向客|斗酒听鸣禽
睡 狂 杯中 我醉	馀不溪上山|映我杯中绿|我醉狂欲歌|潜蛟睡方熟
苍崖 匹练 横 老禅	方惊匹练横|忽骇群羊散|纵使踣苍崖|老禅唯解看
众 南面 异 称王	西瓯众半裸|南面亦称王|老夫亡高异|难镇万里疆
大小 竹扉 声声 林鸟	林鸟喜人归|声声在竹扉|花含大小笑|笑客食春薇
烛影 高楼 歌舞 暗逐	暗逐梁尘起|潜随烛影流|似怜歌舞处|故故入高楼
面面 任 溪山 芙蓉	侬爱峭帆风|身爱且从容|溪山任阔狭|面面青芙蓉
孤烟 森森 化 水沈	石蜜化螺甲|榠楂煮水沈|博山孤烟起|对此作森森
梅花 笑人 龙鳞 古松	且喜台关上|梅花不笑人|摩娑古松树|十见老龙鳞
垂杨 匹马 黄菊 游子	黄菊故人杯|青山游子路|匹马向垂杨|回首燕云暮
年华 落花 春归 看花	曾共看花发|无端又落花|春归君亦去|谁与惜年华
满庭 啸 鸣 秋草	冷猿溪上啸|寒溜槛边鸣|此处往来少|满庭秋草生
晚风 寒日 流水 钟声	寒日照流水|晚风吹古树|遥听暮钟声|依依度江去
江水 夕阳 蹉跎 次第	蹉跎岁事空|次第春风起|雪消夕阳平|彻底清江水
霜 点 春雪 淡日	蜡梅直何如|但闻郑家说|淡日明晨霜|凉酥点春雪
欲语 苔寒 子 对面	苔寒两不借|对面宁尔劳|欲语二三子|卑之毋甚高
翠微 亭亭 山灵 白云	峭壁拥双扉|亭亭夹翠微|山灵虽解设|不禁白云飞
胜游 河水 燕京 东流	胜游何太远|飞佩入燕京|惟有湾河水|东流是旧声
摧折 乔松 海水 高名	海水有枯竭|乔松易摧折|高名万古存|地志书英烈
南湖 暮云 西山 芙蓉	烟迷杨柳洲|水拍芙蓉岸|我忆南湖秋|西山暮云乱
离情 河桥 玉壶 蘼芜	杨柳河桥馆|春风倒玉壶|离情不可道|江路满蘼芜
秋水 客子 晚凉 芙蓉	山郭逢时雨|花轩纳晚凉|芙蓉隔秋水|客子急行装
峰顶 宇宙 飕飕 消息	飕飕万峰顶|宇宙尽闻声|会得真消息|知予是强名
风回 红药 花落 莺啼	碧窗红药砌|青简绿牙签|花落莺啼树|风回燕入帘
玉阶 纨扇 梧桐 红颜	纨扇已凉秋|红颜欲消歇|夜深下玉阶|独拜梧桐月
春秋 知名 南北 逾	春秋逾致仕|南北粗知名|有客来相问|如何不治生
江山 海棠 风清 寒食	地胜江山国|风清令尹家|酒阑寒食夜|月上海棠花
种种 行年 纷纷 世事	世事纷纷变|人生种种愁|行年三十九|得岁又平头
浅 广州 初断 未	团内一锄浅|毫端两诧深|广州初断葛|上党未蒸参
羲皇 风吹 山入 晓窗	夙心厌烦扰|无事即羲皇|山入晓窗碧|风吹午院凉
新晴 风扫 念 寒侵	微雪寒侵煖|新晴风扫氛|天公念穑事|秋稼定如云
江 守 潇湘 遥	缅惟潇湘江|千里遥相忆|何当守一枝|与子期深密
名 稳 家山 知	我坐名过实|欢哗自招损|汝幸无人知|莫厌家山稳
洞中 流水 头路 迢迢	流水溪头路|迢迢是去津|毋将洞中事|说与世间人
松影 竹色 城中 寻幽	城中得此观|不用远寻幽|松影半坛月|竹色一帘秋
南人 溪风 解 春阴	牛脊春阴恶|溪风布裤单|南人解占候|还有种田寒
诗 好 枸杞 封	与卿俱七十|卿有好颜容|此后诗相寄|须兼枸杞封
结庐 旧游 步兵 野人	步兵旧游地|野人今结庐|千载同一调|志隐不志鱼
园林 渡 作 携筇	园林作佛事|施子不少吝|携筇渡一溪|华藏愈无尽
神 怪 知 惊人	刻凿知何谓|弥年亦有神|宵行无足怪|一吼已惊人
里 金屋 别 长门	自从别銮殿|长门几度春|不知金屋里|更贮若为人
微风 萝薜 长啸 山意	鸟没山意寒|渔归水容夕|长啸望林扉|微风动萝薜
关山 袅袅 凄凄 凉风	何必关山远|凉风在殿西|箫声犹袅袅|舞袖忽凄凄
炎凉 古木 春风 人多	古木列官道|春风老干柯|炎凉知几变|来往阅人多
疏 天马 羁 轩昂	孚若如天马|轩昂不可羁|为贫疏饮客|因病出名姬
夏日 憔悴 羽扇 芭蕉	芭蕉值秋槛|勿云憔悴姿|与君障夏日|羽扇宁复持
人闲 翠微 白日 归休	赵公归休年|访师翠微间|始知浮世上|白日两人闲
力 变化 沧州 道人	断取沧州趣|移来六月天|道人三昧力|变化只和铅
华 萼绿 易 金	九疑得道女|受事易迁家|诗赠金条脱|人逢萼绿华
山僧 扃 青 入夜	设户防来往|两崖相对青|山僧无一物|入夜不须扃
虚心 岁寒 寒心 霜雪	人有岁寒心|乃有岁寒节|何能貌不枯|虚心听霜雪
根本 爱 我独 沧浪	人皆爱莲红|我独爱藕白|那知根本心|偶向沧浪得
落晖 落 寒松 空翠	嫩竹容归鹊|寒松捧落晖|危红和露落|空翠扑衣飞
天荒 渔竿 荆棘 风波	樵斧通深密|渔竿接混茫|风波非地险|荆棘乃天荒
绮罗 春色 青山 落花	何处贞娘墓|青山卧绮罗|不知春色尽|无奈落花多
骨 安 西风 山中	世上倚冰险|山中读雪安|西风铸刚骨|更送一番寒
白堕 岸花 月照 黄昏	牛归坡草煖|船系岸花零|白堕尊同卧|黄昏月照醒
吟哦 濂溪 天外 衰翁	濂溪有此天|天外得此景|景中一衰翁|融入吟哦境
秋风 安 夜寒 长信	春煖披香殿|夜寒长信宫|帝方安祸水|妾敢怨秋风
载酒 谢 携 客去	南峤飘幡地|西华载酒年|使君携客去|何似谢临川
风日 纤埃 面面 芙蓉	我闼无纤埃|风日自清好|面面有芙蓉|何如交翠草
山川 气候 谁知 还	气候如当日|山川似旧时|独来还独往|此意有谁知
本 武夷 笠泽 茶灶	茶灶本笠泽|飞来摘茶国|堕在武夷山|溪心化为石
龙头 滴沥 泉 铛	磈砢万石底|滴沥泉一泓|裹茗欲煮尝|未有龙头铛
杜宇 逢春 柳条 归人	陌上柳条新|逢春倍惜春|忽闻啼杜宇|愁杀未归人
团团 拙 独居 磨驴	万里却来日|一庵仍独居|应笑谋生拙|团团如磨驴
放船 世路 月明 吹笛	世路披天险|名声足是非|月明风下露|吹笛放船归
远水 微凉 秋色 晴川	远水生微凉|丹枫吹四野|秋色满晴川|揽之不盈把
付 看水 茅屋 看山	突兀是茅屋|摇兀是土桥|看山看水去|忘饥付木瓢
黄叶 半醉 春水 洞庭	晚云明漏日|春水绿浮山|半醉驴行缓|洞庭黄叶间
秋风 寄 北窗 问我	只影寄空馆|萧然饥鹤姿|秋风北窗来|问我归何时
悠悠 赤壁 荆州 艰难	正当艰难时|岂无济时策|连樯荆州船|悠悠回赤壁
窗外 秋江 风雪 钓船	窗外正风雪|拥炉开酒缸|何如钓船雨|蓬底睡秋江
沧洲 片云 白鸟 世事	世事惟高枕|窗含万壑秋|片云飞广漠|白鸟恋沧洲
蜂蝶 落叶 儿童 殷勤	天女殷勤散|风姨僝僽空|儿童扫落叶|蜂蝶抱枯丛
倾心 青青 阴 未	此地常无日|青青独在阴|太阳偏不及|非是未倾心
变化 露 踪 真龙	爪牙了不露|谁能见其踪|超忽变化处|即此是真龙
鸳鸯 花香 藕丝 露湿	露湿藕花香|花折藕丝长|岂无凫与雁|不似锦鸳鸯
观风 融融 晴光 觚棱	薄薄觚棱雪|融融甲观风|晴光挟和气|先到少阳宫
亭馆 群峰 崔嵬 台高	北岸亭馆众|最先登此台|台高望群峰|万里云崔嵬
翡翠 啼鸟 野树 修篁	上苑花如锦|雕笼翡翠新|修篁邻野树|啼鸟一般春
白鹭 春水 细雨 桃花	青莎白鹭洲|细雨桃花岸|看乘春水船|遥遥到天畔
玉堂 逍遥 清光 雨露	雪后逍遥谷|春风近玉堂|定应承雨露|白发对清光
岧峣 飞盖 佳境 出城	出城跨岧峣|惊目见花艳|飞盖每来游|佳境此其渐
风声 雨气 片云 星宿	雨气侵帘入|风声托树长|片云能掩月|星宿此俱藏
鲤鱼 楼船 洞庭 湖水	几日楼船发|洞庭湖水东|如何当别日|常是鲤鱼风
初月 天外 蛾眉 纤纤	初月蛾眉弯|纤纤出天外|幼女学穿针|多应下阶拜
事 机杼 心 任	十八事舅姑|机杼任蓬首|照面不照心|照心妾不丑
梅花 玉笛 高楼 门下	横浦关门下|秦时塞上沙|高楼吹玉笛|片片是梅花
波面 浮花 未歇 漠漠	依依烟未歇|漠漠风初静|浮花满波面|不见参差影
石桥 崇朝 波影 卧	初看卧波影|应恐雨崇朝|过涧寻师去|端如度石桥
寄语 津 慈航 江涛	佛手撑慈航|尚欲济我人|寄语作舟者|江涛渺无津
春心 闭门 萧萧 晓起	萧萧山下人|闭门衣裘单|春心动溪谷|晓起扪松看
蝶梦 付 死 寒灰	心对寒灰死|形同槁叶凋|鸡谈共楖栗|蝶梦付团蕉
送君 莼鲈 思君 酒醒	一棹送君归|酒醒秋江午|正是莼鲈时|思君在何许
别 衣冠 出门 山雨	牲碑别正朔|祠祝虏衣冠|神亦岂堪此|出门山雨寒
辛夷 愁看 残梅 折	辛夷花烂开|故人殊未来|愁看柳渐绿|忍更折残梅
危栏 翻 乱叶 翠羽	风摆莲衣乾|月背鸟巢寒|文鱼翻乱叶|翠羽上危栏
山河 老翁 江风 信手	滕六寒无恙|山河信手封|老翁无住著|随意系江风
江水 流 海中 日夜	日夜江水流|不海水不止|孰谓流去者|不是海中水
幽人 空山 落叶 焚香	竹径通松坞|幽人自往还|焚香寂无语|落叶满空山
弹指 神明 夜半 空中	谨母昧方寸|是处有神明|夜半为亲祷|空中弹指声
垂钓 溪头 白鸥 扁舟	楼倚溪头水|溪环竹外山|扁舟垂钓者|相对白鸥闲
饱看 想像 琼瑶 雪山	虚廊寂无人|饱看琼瑶堕|想像释迦文|颓然雪山坐
满林 斗酒 雪 醉卧	晴气熏樱蕊|丰濛雪满林|请君三斗酒|醉卧白罗岑
大用 功 岁晚 南山	南山有佳木|柯叶正敷荣|愿图岁晚功|大用宁小成
滑滑 停车 行人 鸟啼	万峰围水田|行人驻不发|停车听鸟啼|但闻泥滑滑
好花 锁 好客 闭户	不知闭户久|但觉锁生苔|好客何曾到|好花长自开
木叶 寒山 红树 清江	清江木叶脱|红树被秋堰|何处寻郭熙|寒山写平远
横斜 物华 江山 人情	时丰公事少|笔砚任横斜|环郭江山秀|人情等物华
开门 夜半 天末 客枕	客枕正无憀|寒鸡鸣夜半|开门望天末|月沉星烂烂
道场 虎穴 念 毁誉	毁誉不入念|方知心已空|魔宫并虎穴|还与道场同
石桥 寻春 寒云 拂	几度寻春信|亲曾到石桥|寒云拂缟夜|恨不坐通宵
深愧 碧落 鸟 青田	眷此青田鸟|犹含碧落情|不能为若主|深愧九皋声
丹霞 云气 人 骑鹤	丹霞熨朝旭|桂叶一何芾|中有骑鹤人|下上随云气
青青 玉貌 妻子 秋草	玉貌同秋草|青青岂得长|已安殊类久|妻子亦何伤
溪水 白云 青林 石室	石室月既满|青林人未眠|带月步溪水|白云长在天
甲兵 妇人 山行 传闻	传闻渝水上|蔽日甲兵尘|野战哀田叟|山行泣妇人
稀 金门 收 赐	彤阙收红绶|金门赐鞠衣|若无纤刺罥|一摘便须稀
冰雪 桂树 凌寒 嫌	桂树凌寒开|香多嫌酷烈|不若早梅清|平生在冰雪
白云 人去 高低 天边	原上高低树|天边起伏山|鸟来秋影乱|人去白云闲
团扇 君王 闻道 避风	甘随团扇弃|无复贯鱼同|闻道阳阿燕|君王筑避风
惊心 绿阴 细雨 画角	数点飘香雪|非关画角吹|惊心调鼎事|细雨绿阴时
草堂 树下 青山 落日	落日赤云西|青山照大溪|草堂松树下|坐听鹁鸠啼
残 神 折花 看花	看花须看神|折花莫折残|但使花骨清|岂畏花地寒
望见 朝日 云峰 家住	家住万山中|云峰翠几重|东山朝日出|望见海霞红
涅槃 笑 昨梦 耳	生死与涅槃|都如昨梦耳|觉后笑呵呵|无彼亦无此
暑风 阔 溪 旧国	旧国当年阔|暑风今日生|舟回溪几曲|人卧月三更
周易 外事 闭门 堂堂	堂堂八十翁|自喜无人识|外事了不闻|闭门看周易
暝色 斜日 远村 澄江	西岭障斜日|澄江来绕门|归鸦千万点|暝色入远村
闭门 绝顶 荧荧 飞鸟	绝顶愁飞鸟|丹霞隐林抄|孤僧早闭门|荧荧佛灯小
风落 西湖 田 平沙	风落平沙稻|霜垂别渚莲|西湖三百亩|强半富儿田
波影 蓑笠 鸟声 平畴	云沉波影暗|寺古鸟声集|平畴三尺青|风披见蓑笠
孤舟 长江 雪 横流	长江浪滚雪|烟黑花争飞|可怪横流者|孤舟一笠归
蜿蜒 露 鳞甲 穿	一夜中弇雷|率然穿作峡|蜿蜒诘曲中|时时露鳞甲
悠悠 迎 尊酒 芙蓉	轻舸迎上客|悠悠湖上来|当轩对尊酒|四面芙蓉开
暝色 西山 烽火 将军	暝色满西山|将军猎骑还|隔河见烽火|骄虏夜临关
凛凛	长身一庭中|劲气九霄上|思公立朝时|凛凛不可向
大海 平田 道人 波涛	大海波涛涌|道人愿力坚|当头一截断|万顷看平田
城南 去去 停 芳草	去去城南路|我马忽以停|知尔不行意|春原芳草青
妨 下泉 乡 娘	水马为妻婿|不久下泉乡|命里妨头妻|再得口天娘
窗外 诗 辛夷 山窗	几度过僧院|山窗未有诗|当轩忽相忆|窗外有辛夷
树色 寺 浓 泉声	雨骤泉声急|云凉树色浓|不知何处寺|忽送一声钟
委曲 空床 光 明月	可怜明月光|委曲照空床|自是元无梦|更悲今夜长
旱 雨 感 去秋	去秋旱太甚|百神无不举|今岁感天公|时有容易雨
牛羊 惨惨 风色 日将	惨惨日将暮|驱羸独到庄|沙痕傍墟落|风色入牛羊
岱宗 日观 术 还丹	日观非岱宗|三更可见日|一气孔神时|坐得还丹术
卷帘 清净 俗客 虚明	清净当深处|虚明向远开|卷帘无俗客|应只见云来
王 春雨 草堂 愁	为嗔王录事|不寄草堂赀|昨属愁春雨|能忘欲漏时
炉 下 鼎 炉安	鼎立悬胎鼎|炉安太一炉|但知生药处|便好下工夫
作堆 逼 雨 拥	山榴逼砌栽|山火一团开|尽日风兼雨|春渠拥作堆
驾 白云 流水 俗士	白云在山上|流水在屋下|此中自有人|请回俗士驾
稀 矶 争长 钓鱼	斲鼻昔常尔|绝弦知者稀|无人与争长|惟有钓鱼矶
棋局 官家 稻 给	方田若棋局|水煖稻先熟|一半给官家|一半供𫗴粥
明灭 青林 逶迤 湖水	北垞湖水北|杂树映朱阑|逶迤南川水|明灭青林端
迟暮 袅袅 棠梨 长门	袅袅棠梨枝|珍禽啄花去|一片落长门|思君恐迟暮
苍苍 落 际 颜	一峰际苍苍|遐瞩了无碍|湖色上人颜|崖阴落鸟背
闲中 茫茫 骥足 苜蓿	茫茫苜蓿花|落满金微道|一千里骥足|十二闲中老
归路 林峦 月出 贪看	归路不觉远|月出静林峦|举头贪看月|误到别家门
樽罍 微风 日暮 波影	日暮虾须卷|亭中雅燕开|微风起苹末|波影动樽罍
劳心 古人 忠孝 大节	食芹知献君|嗜芰不忘亲|大节全忠孝|劳心思古人
忧国 天子 田家 老臣	时雨雨三日|田家家万金|有年天子庆|忧国老臣心
世 冬日 闲居 真意	冬日且闲居|谁停五马车|从容见真意|锄尽世骄虚
亭下 竹色 青鸾 池水	亭前竹色好|亭下池水宽|平波浸寒影|古镜飞青鸾
邂逅 知音 孤高 竹	为嫌太孤高|邂逅松梅友|忽与竹同评|是遇知音不
光中 镜 渔舟 春涨	渔舟何所至|两两镜光中|沿洄溯春涨|更喜天无风
香魂 计 岁久 楚些	玉殓知无有|香魂计已销|频来吟楚些|岁久若为招
将 天山 成林 东南	美箭东南出|成林地不悭|禽胡如有将|寄与定天山
雨花 台 渡江 空中	折芦渡江来|已面九年壁|何事说经台|空中雨花碧
